"","row_id","State","District","SourceYear","DistrictCode","StateCode","Arsenic","Carbonate","Calcium","Chloride","Electrical_Conductivity","Fluorine","Iron","Hydrogencarbonate","Potassium","Magnesium","Nitrate","Sodium","Percentage_Sodium","Phosphate_Ion","Residual_Sodium_Carbonate","Sodium_Absorption_Ratio","Sulfate","Silicon_Dioxide","Hardness_Total","Alkalinity_Total","Total_Dissolved_Solids","Potential_Of_Hydrogen","SDP","Gini_Coefficient"
"1",63235,"Andaman And Nicobar Islands","North And Middle Andaman",2000,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,0.3
"2",163235,"Andaman And Nicobar Islands","North And Middle Andaman",2001,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,857,0.3
"3",263235,"Andaman And Nicobar Islands","North And Middle Andaman",2002,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948,0.3
"4",363235,"Andaman And Nicobar Islands","North And Middle Andaman",2003,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048,0.3
"5",463235,"Andaman And Nicobar Islands","North And Middle Andaman",2004,632,35,NA,NA,36.9411764705882,54.2941176470588,638.117647058824,0.375333333333333,0.501538461538462,250.058823529412,2.13529411764706,30.2823529411765,2.24545454545455,44.7058823529412,NA,NA,NA,1.42,32.7058823529412,NA,216.764705882353,NA,NA,8.03882352941176,1633,0.3
"6",563235,"Andaman And Nicobar Islands","North And Middle Andaman",2005,632,35,NA,14.4,40.375,35.6875,523.5625,0.12625,0.111333333333333,210.5,1.79375,22.43125,5.75,31.375,NA,NA,0.35,1.045625,25.5,NA,193.4375,NA,NA,8.260625,1720,0.3
"7",663235,"Andaman And Nicobar Islands","North And Middle Andaman",2006,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2029,0.3
"8",763235,"Andaman And Nicobar Islands","North And Middle Andaman",2007,632,35,NA,NA,49.625,55.25,604.352941176471,0.25125,0.2925,250.9375,2.16875,24.6875,4.07272727272727,39.9375,NA,NA,NA,1.183125,42.1875,NA,227.5,NA,NA,7.73294117647059,2238,0.3
"9",863235,"Andaman And Nicobar Islands","North And Middle Andaman",2008,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2579,0.3
"10",963235,"Andaman And Nicobar Islands","North And Middle Andaman",2009,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2911,0.3
